ID,Name,Brand,Category,Price,DiscountPrice,Image_URL
421,"Dawlance - Water Dispenser 2 Tap Without Refrigerator - Wd-1060","Dawlance","Water Dispensers",40800,43000,"/images/dawlance-dawlance-water-dispenser-2-tap-without-refrigerator-wd-1060.png"
420,"Dawlance - Water Dispenser Wd- 1051 Hc White Top Load Water Dispensers","Dawlance","Water Dispensers",42000,46000,"/images/dawlance-dawlance-water-dispenser-wd-1051-hc-white-top-load-water-dispensers.png"
418,"Dawlance Bottom Load Glass Door Water Dispensers (dbd-1035)","Dawlance","Water Dispensers",52500,55000,"/images/dawlance-dawlance-bottom-load-glass-door-water-dispensers-dbd-1035.png"
417,"Dawlance Glass Door Bottom Load Water Dispenser (dbd-1034-ez)","Dawlance","Water Dispensers",46000,49000,"/images/dawlance-dawlance-glass-door-bottom-load-water-dispenser-dbd-1034-ez.png"
419,"Dawlance Water Dispenser Wd-1051 Cn Grey 2 Taps","Dawlance","Water Dispensers",39300,42000,"/images/dawlance-dawlance-water-dispenser-wd-1051-cn-grey-2-taps.png"
422,"Dawlance Water Dispenser White (wd-1060-fp)","Dawlance","Water Dispensers",39600,44600,"/images/dawlance-dawlance-water-dispenser-white-wd-1060-fp.png"
423,"HAIER Two Taps Water Dispenser Model Hdr-tc2c1gb-pk","Haier","Water Dispensers",47800,50000,"/images/haier-haier-two-taps-water-dispenser-model-hdr-tc2c1gb-pk.png"
432,"Homage - Water Dispenser 2 Tap Table Top - Hwd-49320","Homage","Water Dispensers",30800,36000,"/images/homage-homage-water-dispenser-2-tap-table-top-hwd-49320.png"
433,"Homage - Water Dispenser 3 Tap With Refrigerator - Hwd-49432g","Homage","Water Dispensers",40800,45000,"/images/homage-homage-water-dispenser-3-tap-with-refrigerator-hwd-49432g.png"
434,"Homage Hwd-49331p 2 Tap Water Dispenser Without Ref","Homage","Water Dispensers",37200,45000,"/images/homage-homage-hwd-49331p-2-tap-water-dispenser-without-ref.png"
426,"ORIENT 3 Taps Water Dispenser Velvet 3 With Refrigerator","Orient","Water Dispensers",43600,43600,"/images/orient-orient-3-taps-water-dispenser-velvet-3-with-refrigerator.png"
425,"ORIENT Crystal 3 Taps Glass Door Water Dispenser Black","Orient","Water Dispensers",41800,46000,"/images/orient-orient-crystal-3-taps-glass-door-water-dispenser-black.png"
424,"ORIENT Crystal 3 Taps Glass Door Water Dispenser Purple","Orient","Water Dispensers",41800,46000,"/images/orient-orient-crystal-3-taps-glass-door-water-dispenser-purple.png"
428,"PEL - Water Dispenser 2 Tap Pearl With Storage Cabinet - 215","Pel","Water Dispensers",35900,38000,"/images/pel-pel-water-dispenser-2-tap-pearl-with-storage-cabinet-215.png"
431,"PEL - Water Dispenser 3 Tap Curved Glass Door With Refrigerator - 525 Gd","Pel","Water Dispensers",42800,46000,"/images/pel-pel-water-dispenser-3-tap-curved-glass-door-with-refrigerator-525-gd.png"
429,"PEL Smart Water Dispenser White (pwd-315)","Pel","Water Dispensers",37900,40000,"/images/pel-pel-smart-water-dispenser-white-pwd-315.png"
430,"PEL Straight 3 Taps Glass Door Water Dispenser (pwd-425-gd)","Pel","Water Dispensers",42000,46000,"/images/pel-pel-straight-3-taps-glass-door-water-dispenser-pwd-425-gd.png"
427,"PEL Table Top Classic 115 Water Dispenser","Pel","Water Dispensers",31000,35000,"/images/pel-pel-table-top-classic-115-water-dispenser.png"
