Product_Model,Category,Source_Page_URL,Image_Status,Match_Notes
"HR-66 B","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HR-136 B","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-186 EBS/EBD","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-418 IPRA/IPGA/IPPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-458 IPRA/IPGA/IPPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-418 IDGA/IDRGA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-458 IDGA/IDRGA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-418 IAPA+/IARA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-458 IAPA+/IARA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-418 IFGA/IFRA/IFPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-458 IFGA/IFRA/IFPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-418 TIFG1U1/TIFB1U1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-458 TIFG1U1/TIFB1U1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-488 IFFB","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-518 IFFB","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-518 WIFFBGU1","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-622 IBS","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-622 ICG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"HRF-622 IBG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-578 TSG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-578 TBG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-578 TBGU1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"HRF-578 TGGU1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HRF-678 TGG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
