Product_Model,Category,Source_Page_URL,Image_Status,Match_Notes
"HSU-19HFS/023WDC(W)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19HFN/013WDC(W)-T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19HFPAA/013/23/43WUSDC(G","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19HFCS/CA/CP/013/23WDC(W)-SG","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19RFP/013/23DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19LFCM/013/23USDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19LF-SUPREME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-19LF-PRIME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-18CFCP/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-24HFAB/013WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-24HFAB/013WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-24HFCD/013/23WDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HSU-24CFCM/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HBU-18HE/DC 1.5 254","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HBU-24HE/DC-QB-T3 2 372","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"Cool Only HBU-48CE/DC 4 508","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"Heat & Cool HBU-48E/DC 4 550","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HDU-24HE/DC 2 302","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HDU-48HE/DC 4 475","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HBU-24CE03/KB 2 259","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"HBU-48CE03/KB 4 388","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
