Product_Model,Category,Source_Page_URL,Image_Status,Match_Notes
"HSU-10LFCM/013USDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-14HFTEX/013/023WUSDC(OW)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-14HFTEX/013/023WUSDC(DG)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFAB/013/23WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFAB/013/23WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFS/013/23WDC(G)/(S)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFS/013/23WDC(W)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFN/013WDC(W)-T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFPA/013WUSDC(G-S-B","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13HFCS/CA/CP013/33/23USDC(W)-SG","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13RFP/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13LFCM/013/23DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13LF-SUPREME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-13LF-PRIME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-12CFCP/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-20HJ/013/23WUSDC(G)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-20HJUV/013/23WUSDC(G)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-20HFTEX/013/23/33WUSDC(OW)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-20HFTEX/013/23/33WUSDC(DG)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-19HFAB/013WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-19HFAB/013/23WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"HSU-19HFS/023WDC(S-G)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
