S_No,Brand,Category,Model_Name,MRP_Price
"1","Haier","Refrigerators","HR-66 B",""
"2","Haier","Refrigerators","HR-136 B",""
"3","Haier","Refrigerators","HRF-186 EBS/EBD",""
"4","Haier","Refrigerators","HRF-418 IPRA/IPGA/IPPA",""
"5","Haier","Refrigerators","HRF-458 IPRA/IPGA/IPPA",""
"6","Haier","Refrigerators","HRF-418 IDGA/IDRGA",""
"7","Haier","Refrigerators","HRF-458 IDGA/IDRGA",""
"8","Haier","Refrigerators","HRF-418 IAPA+/IARA",""
"9","Haier","Refrigerators","HRF-458 IAPA+/IARA",""
"10","Haier","Refrigerators","HRF-418 IFGA/IFRA/IFPA",""
"11","Haier","Refrigerators","HRF-458 IFGA/IFRA/IFPA",""
"12","Haier","Refrigerators","HRF-418 TIFG1U1/TIFB1U1 (IOT)",""
"13","Haier","Refrigerators","HRF-458 TIFG1U1/TIFB1U1 (IOT)",""
"14","Haier","Refrigerators","HRF-488 IFFB",""
"15","Haier","Refrigerators","HRF-518 IFFB",""
"16","Haier","Refrigerators","HRF-518 WIFFBGU1",""
"17","Haier","Refrigerators","HRF-622 IBS",""
"18","Haier","Refrigerators","HRF-622 ICG",""
"19","Haier","Refrigerators","HRF-622 IBG",""
"20","Haier","Refrigerators","HRF-578 TSG",""
"21","Haier","Refrigerators","HRF-578 TBG",""
"22","Haier","Refrigerators","HRF-578 TBGU1 (IOT)",""
"23","Haier","Refrigerators","HRF-578 TGGU1 (IOT)",""
"24","Haier","Refrigerators","HRF-678 TGG",""
