S_No,Brand,Category,Model_Name,MRP_Price
"1","Haier","Washing Machines","HWM 60-50 Automatic Dryer","38000"
"2","Haier","Washing Machines","HWM 80-60 Semi Automatic","35000"
"3","Haier","Washing Machines","HWM 80-1217 Semi Auto","39000"
"4","Haier","Washing Machines","HWM 120-35 Semi Auto Single Tub","45000"
"5","Haier","Washing Machines","HWM 130-1217 GB Single Tub","48000"
"6","Haier","Washing Machines","HWM-75AS Semi Auto","41000"
"7","Haier","Washing Machines","HWM-80-CS Twin Tub","44000"
"8","Haier","Washing Machines","HTW 100-196G Twin Tub","52000"
"9","Haier","Washing Machines","HTW 100-196E Twin Tub","53000"
"10","Haier","Washing Machines","HMW100-1217 White","49000"
"11","Haier","Washing Machines","HWM 80-186 Twin Tub","46000"
"12","Haier","Washing Machines","HWM-85-1269S6 Fully Auto","68000"
"13","Haier","Washing Machines","HWM 100-1269 Fully Auto","74000"
"14","Haier","Washing Machines","HWM 90-826 E Fully Auto","71000"
"15","Haier","Washing Machines","HWM 100-826 Fully Auto","78000"
"16","Haier","Washing Machines","HWM-110-B688S8 Fully Auto","95000"
"17","Haier","Water Dispensers","HWD-306 White Glass Door","35000"
"18","Haier","Water Dispensers","HWD-306 Red Glass Door","35000"
"19","Haier","Water Dispensers","HWD-308 Cabinet Dispenser","38000"
"20","Haier","Microwave Ovens","HMW-20MPB 20L Solo Black","21000"
"21","Haier","Microwave Ovens","HWM-26MBH 25L Solo","32000"
"22","Haier","Microwave Ovens","HGL-25MXP9 25L Solo Black","29000"
"23","Haier","Microwave Ovens","HGL-23200 23L Grill White","36000"
"24","Haier","Microwave Ovens","HGL-30100 30L Convection","46000"
