S_No,Brand,Category,Model_Name,MRP_Price
"1","Haier","Air Conditioners","HSU-10LFCM/013USDC(W)","81356"
"2","Haier","Air Conditioners","HSU-14HFTEX/013/023WUSDC(OW)-T3 Plus","114831"
"3","Haier","Air Conditioners","HSU-14HFTEX/013/023WUSDC(DG)-T3 Plus","118220"
"4","Haier","Air Conditioners","HSU-13HFAB/013/23WUSDC(W)-T3 Pro","105508"
"5","Haier","Air Conditioners","HSU-13HFAB/013/23WUSDC(Grey)-T3 Pro","108898"
"6","Haier","Air Conditioners","HSU-13HFS/013/23WDC(G)/(S)-Super T3","107203"
"7","Haier","Air Conditioners","HSU-13HFS/013/23WDC(W)-Super T3","103814"
"8","Haier","Air Conditioners","HSU-13HFN/013WDC(W)-T3","100424"
"9","Haier","Air Conditioners","HSU-13HFPA/013WUSDC(G-S-B,SG)","100000"
"10","Haier","Air Conditioners","HSU-13HFCS/CA/CP013/33/23USDC(W)-SG","95339"
"11","Haier","Air Conditioners","HSU-13RFP/023DC(W)","93644"
"12","Haier","Air Conditioners","HSU-13LFCM/013/23DC(W)","84322"
"13","Haier","Air Conditioners","HSU-13LF-SUPREME/023DC(W)","84322"
"14","Haier","Air Conditioners","HSU-13LF-PRIME/023DC(W)","84322"
"15","Haier","Air Conditioners","HSU-12CFCP/023L(W)","76695"
"16","Haier","Air Conditioners","HSU-20HJ/013/23WUSDC(G)-T3 Plus","203390"
"17","Haier","Air Conditioners","HSU-20HJUV/013/23WUSDC(G)-T3 Plus","184746"
"18","Haier","Air Conditioners","HSU-20HFTEX/013/23/33WUSDC(OW)-T3 Plus","152542"
"19","Haier","Air Conditioners","HSU-20HFTEX/013/23/33WUSDC(DG)-T3 Plus","155932"
"20","Haier","Air Conditioners","HSU-19HFAB/013WUSDC(W)-T3 Pro","136864"
"21","Haier","Air Conditioners","HSU-19HFAB/013/23WUSDC(Grey)-T3 Pro","141102"
"22","Haier","Air Conditioners","HSU-19HFS/023WDC(S-G)-Super T3","138559"
