S_No,Brand,Category,Model_Name,SKU,Rate,Image_Status,Source_File
1,"AC","AC","2 Ton Floor Inv 24 T3",""," 265,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
2,"AC","AC","20 Chrome",""," 110,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
3,"AC","AC","20 Frost",""," 102,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
4,"AC","AC","20 HFTEX Grey",""," 163,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
5,"AC","AC","20 HFTEX White",""," 161,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
6,"AC","AC","24 AK FLOOR INV T3",""," 278,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
7,"AC","AC","24 CEO3",""," 215,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
8,"AC","AC","24 CF",""," 156,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
9,"AC","AC","24 FITH 1",""," 260,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
10,"AC","AC","24 FITH 2",""," 260,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
11,"AC","AC","24 FITH 3",""," 260,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
12,"AC","AC","24 FITH 6C/S",""," 245,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
13,"AC","AC","24 HD/Z W",""," 268,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
14,"AC","AC","24 HDZ UV",""," 270,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
15,"AC","AC","24 HE/DC",""," 238,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
16,"AC","AC","24 HEA",""," 172,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
17,"AC","AC","24 HF",""," 187,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
18,"AC","AC","24 HFAB GREY",""," 198,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
19,"AC","AC","24 HFAB WHITE",""," 195,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
20,"AC","AC","24 HJ FLOOR",""," 295,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
21,"AC","AC","24 PITH 11S",""," 222,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
22,"AC","AC","24 PITH 11W",""," 212,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
23,"AC","AC","24 T3 PRO",""," 183,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
24,"AC","AC","24 TF",""," 273,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
25,"AC","AC","24 TFIH",""," 337,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
26,"AC","AC","24 VTIH",""," 430,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
27,"AC","AC","24e Cool",""," 160,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
28,"AC","AC","26 AITH",""," 268,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
