S_No,Brand,Category,Model_Name,SKU,Price,Image_URL,Source_File
1, ORIENT,AC,Orient Everest 18W Geo White,ORIENT-EVEREST-18W-GEO-WHITE,126739,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp,AC__csv.csv
2, ORIENT,AC,Orient Infinity 18X Silver Matt T3+,ORIENT-INFINITY-18X-SILVER-MATT-T3+,184348,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp,AC__csv.csv
3,DAWLANCE ,AC,DAWLANCE 15 Frost pro,DAWLANCE-15-FROST-PRO,102826,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAODw8PDw0NEA0PDQ0NDRAPEBAQDw8PFREWFxURFRMYHyggGBolGxUTITEhJikrLi4uFx8zOTMsNygtLisBCgoKBQYFDgUFGisZExkrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrKysrK//AABEIAOEA4AMBIgACEQEDEQH/xAAcAAEAAgIDAQAAAAAAAAAAAAAAAQcDBQIGCAT/xABAEAACAQICAwsJBgYDAAAAAAAAAQIDBAURByFREhMxMjNBYXKRsbIGUnFzgZKhwdEIFEJDotIiI2OCwvBUYuH/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8Ao0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzVGTi5KEtwuGWT3K9pwAAAAAAAM9jZ1bipCjRpzq1pvKEIRcpSeWepLoTfsOz0dGmMT4MPmutUoR75AdRBYNDQ7i0+GNrT69b9qZsrXQffPlbuyh1HVqP4xiBVgLloaCXq3eKJLnULbP4up8jZ0NBtmuPe3kuoqUO9MChweibXQzhUON98q+srRXgjE2VDRZgsGn9w3TXn17hrs3eT7APMgPV1HyHwqHBhdk+tRhPxJmytsFtKWqlZ2lNLg3uhSh3IDyFSpSm9zCMpS2RTk+xGxo+Tl/PiYffT6ttWl3RPXUIpLJJJbFqRIHla30f4tU4uG3K68VT8bRsLfRTjM3rsowW2dehl2KTfwPTQA870dC2Ky4Z2UOtVqPwwZsrfQZdPlL+3j1Kc597iXuAKZttBEfzMSk1shbqHxc33Gyo6DbFce7vZdWVKK8DLUJAryhocwmPGp159etP/Fo2NtouwenwWMH151anjkzuRIHXqHkPhcODDrPNcDdCk32uJs6GDW1PiW9GPVhGPcfcAOMKcY8EY9h1Xyp8l7OpKFR2dq93mpKVGk8pbU2s1mdtNVjvFh113MCurvR3h1Rt/dIxb56c6sP0qWXwNNdaKLV573WuYbE5QnFezcp/EstBoCmrvRPWSe9XcJvXkqlJwXobTl3HRMWwytZ1pUK8HCpHLNcKafBJPnTPT7iiodOFGKr2c0lupUa0ZPnajNNL9Uu0D7Ps9WsJXV7WazqU7elTg9iqTbl4F8S9Ckvs7criPqrXxTLtAAAASQSAAAAkgkAASAAAEgAASAAJAAAEgDVY9xYdddzNqarHuLDrruYGsiBEkCCpNOXKWPq7jxQLbKk058pY+ruPFAD7/s7criPqrXxTLtKS+ztyuI+qtfFMu0AAABJBIAAASkMvqTHgb1Z8H+ompw9/PzgcSSCQAAAkAASAAJAAAkAAavHuLDrruZtDV49xYdddzA1cSSESBBUmnPlLH1dx4oFtlSac+UsfV3HigB9/wBnflcR9Va+KZdpSX2duVxH1Vr4pl0b3Lz9vM/qBlBj3Mtvxy+TJyl/sl+0DmSY/wCLo7QnLZ2JfUDIDhm9j7I/uJ3XR8H8gORJj3zo+E/2jfeh9j+gGQkx76ujtiu8nfF0e9D6gcwcVP8A3U+4nddEvdYHIHHdrp92Q3xbe8DmDhvsfOXaTvsfOj2oDmCFJbV2kgSAABq8e4sOuu5m0NXj3Fh113MDVxJIRIEFSac+UsfV3HigW2VJpz5Sx9XceKAH1fZ5rxVzfU21u529GcVzuMJtS8cS65Rnum01uclkm9XNzc3P2nkTC8SrWlWNe2qzpVoZ7mcHrWaya2NdDO9YZpjxKlkq283EUtbcVSqP2x/h/SB6EpuX4kstqZkKkwvTNQnqrRlRerNypucfY4tt9iO34d5aUbhZ0a1tV2qNRbpelcKA7aDSQx7P8tPqyMscchz05L2oDbA1scapPh3a9hmjilF/jy9KaA+wk+eN7SfBVh2pGaNSL4JRfoaA5EkEgQ4rYiN7j5sexHIAcd6j5sexDeo7OxtHMAcd7W2Xvy+pO99MveZyAGKcYppOpk3wJ7jN+jNax93W1+7T/aTVpZvNSae5cVk2ufh1GGacNzup6s8m3KWT+mS1cOvnAy/dltXtjH5ZHF2r85L+1/uMMks91vtNNRg081utSeet82TfMfTbyk+NJNpa8nHhz5svnzgZYrJJZ55JLPaazHuLDrruZtDU4+tVPoqJ/okvmBrUSQiQIKk058pY+ruPFAtmos9W15P0c/cVHpvpxjUsVGMYrerjVFJLjQ2AViAAAAA+uhidxT1U7ivBbIVZx7mbC38rcQp8W+uH15754szSADtdvpDxOHDcRqLZOlT74pM2FDSlerj0bWa6tSL7d18jogAsulpZl+Owi9u5rtd8WbCjpVtfx2tzHq73LvaKkAF322lCweX865pdEoT1e5mbW00i2c+LiUV6xSh40eewB6ZtPLOlU4l/aVHsVSk5diZs6WPzetb1JdGf1PKZyhNxecW01wNNp9oHrGOPS56afol/4ZY49Hnpy9jTPK9LHLyHFvbuPVr1V8zYUfLbEocF7U/ujTm+2SYHp2OO0udTXpX0M0cYov8AHl6VL6HmyhpJxGPGnQqdM6SWfuNGwt9Kt0uUtraXUdSn3uQHoiOI0X+bD2ySMu+U5/ihLh50ygrfSxH8yxklthWUn2OK7z76OlKyeSlRu49O4pyS/VmBeCow5klmstWa2fRHKlSjDVFZcBT9DSNh3/KnD00q3+KZtbfy4tJcXE6a61bcfCTQFnGqxp5uMdj3T9GWS732HWrbyn3xfy72lVX/AEqU59x99LEVLXOLzfDJa8+0DJkDNGUZ8Vp9/YcakMtfMBgnzdb5MqTTk/51kv6Vd/qiWXimM2tumq9xSpp+dUUJezXnn6CktJHlHSxC5hvDk7ehT3uEpOec5N5yl/Fry4q9gHUgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAy0LmpT5OpUh1JSj3GIAbW38pL6m84X12sv61RrsbyMt55WYhWWVS/umtiqSjn6dzlmaUATKTbbbbbebb1tvaQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAf/Z",AC__csv.csv
4,DAWLANCE ,AC,Dawlance 1 Ton Inverter Split AC Frost Pro 15,DAWLANCE-1-TON-FROST-PRO-15-AC,124565,https://cdn.comverseglobal.com/alfa/products/product_images/a1-17-3_260426124844208322.jpeg%3Fwidth%3D640,AC__csv.csv
5,DAWLANCE ,AC,Dawlance 1.5 Ton 30 Infinity Pro,DAWLANCE-1.5-TON-30-INFINITY-PRO,120217,https://cdn.comverseglobal.com/alfa/products/product_images/30-infinity-pro_160226140327522124.png,AC__csv.csv
6,DAWLANCE ,AC,Dawlance AC 15 Infinity Pro 1 Ton ,DAWLANCE-AC-15-INFINITY-PRO-1-TON,98478,https://hadielectronics.com.pk/wp-content/uploads/2026/02/INFINITY-PRO-15.webp,AC__csv.csv
7,DAWLANCE ,AC,Dawlance AC Aura X 30 1.5 Ton Inverter Split AC ,DAWLANCE-AC-AURA-X-30-1.5-TON-INVERTER-SPLIT-AC,149565,https://cdn.comverseglobal.com/alfa/products/product_images/aurax1ton-2_1_220526180727264429.jpg,AC__csv.csv
8,DAWLANCE ,AC,Dawlance Aura X 1.5 Ton Inverter Split AC,DAWLANCE-AURA-X-1.5TON-INVERTER-SPLIT-AC,116957,https://www.surmawala.pk/cdn/shop/files/image_1_57ced040-61fb-4117-9738-9d87622098bc.webp?v=1754727087,AC__csv.csv
9,ECOSTAR,AC,EcoStar 18T3PRO 1.5 TON Inverter Split AC (Heat & Cool),ECOSTAR-PRINCE-1.5TON-INVERTER-SPLIT-AC,165870,https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601,AC__csv.csv
10,ECOSTAR,AC,EcoStar AC 12DU02GC 1 Ton Inverter Split AC Duke Series,ECOSTAR-AC-12DU02GC-INVERTER-SPLIT-AC,108261,https://electromart.com.pk/wp-content/uploads/2026/03/Ecostar-ac-12du02gc.webp,AC__csv.csv
